team,emp_home_for,mu_home_for,diff_home_for,emp_home_against,mu_home_against,diff_home_against,emp_away_for,mu_away_for,diff_away_for,emp_away_against,mu_away_against,diff_away_against,attack_A,defense_D,beta0,home_adv,alpha,matches,matches_w,low_sample_flag
Arsenal,7.0625,6.836386314569206,-0.2261136854307937,2.7083333333333335,2.701503664878731,-0.006829668454602533,6.083333333333333,5.795204133437228,-0.28812919989610464,3.4166666666666665,3.1868631817084125,-0.22980348495825398,0.2635672357922765,-0.49965493525641025,1.4934634661662949,0.16522857348405845,0.07563180325364648,96,61.800000000000004,0
Aston Villa,6.395833333333333,6.1146667428077635,-0.2811665905255696,3.8333333333333335,3.9177255305124143,0.08439219717908086,5.145833333333333,5.18340251003555,0.03756917670221682,5.020833333333333,4.621594784987837,-0.39923854834549566,0.15199822968934767,-0.12795220256579481,1.4934634661662949,0.16522857348405845,0.07563180325364648,96,61.800000000000004,0
Bournemouth,6.354166666666667,6.516927012906981,0.1627603462403142,4.708333333333333,4.331881471797908,-0.37645186153542465,5.666666666666667,5.52439850890538,-0.1422681577612872,5.458333333333333,5.110159112302115,-0.3481742210312184,0.21571090814461452,-0.027461498482686975,1.4934634661662949,0.16522857348405845,0.07563180325364648,96,61.800000000000004,0
Brentford,4.666666666666667,5.193803601140021,0.5271369344733543,5.270833333333333,4.958225202710434,-0.31260813062289916,4.8125,4.4027868983124465,-0.4097131016875535,6.354166666666667,5.84903346627365,-0.5051332003930167,-0.011225739766217779,0.10758438850277494,1.4934634661662949,0.16522857348405845,0.07563180325364648,96,61.800000000000004,0
Brighton & Hove Albion,5.729166666666667,5.402614382413614,-0.3265522842530526,4.229166666666667,4.024231503293043,-0.20493516337362383,4.458333333333333,4.579795780938653,0.1214624476053201,4.9375,4.747235911335101,-0.1902640886648994,0.028190941650961098,-0.10112950438425648,1.4934634661662949,0.16522857348405845,0.07563180325364648,96,61.800000000000004,0
Chelsea,6.479166666666667,6.216659915172535,-0.26250675149413194,4.0,3.7159939960794555,-0.28400600392054454,4.958333333333333,5.26986211411191,0.31152878077857693,4.708333333333333,4.383619612852434,-0.32471372048089897,0.16854073173954426,-0.1808172609104494,1.4934634661662949,0.16522857348405845,0.07563180325364648,96,61.800000000000004,0
Crystal Palace,4.770833333333333,4.745861254616904,-0.024972078716428925,4.833333333333333,4.633669797744778,-0.19966353558855499,4.083333333333333,4.023066206902701,-0.06026712643063181,5.875,5.466167552021433,-0.40883244797856744,-0.10141911623669493,0.039885700883963746,1.4934634661662949,0.16522857348405845,0.07563180325364648,96,61.800000000000004,0
Everton,4.708333333333333,4.712914224996997,0.0045808916636636,5.333333333333333,5.023828629065761,-0.3095047042675718,4.0625,3.995137012522498,-0.06736298747750213,6.604166666666667,5.926423383142446,-0.6777432835242205,-0.10838559153552613,0.12072885196117196,1.4934634661662949,0.16522857348405845,0.07563180325364648,96,61.800000000000004,0
Fulham,5.4375,5.551706943592425,0.11420694359242489,4.604166666666667,4.237804940039342,-0.3663617266273249,5.041666666666667,4.7061815331549735,-0.3354851335116935,5.0,4.999180534252451,-0.0008194657475488754,0.05541339822594722,-0.04941803379771252,1.4934634661662949,0.16522857348405845,0.07563180325364648,96,61.800000000000004,0
Wolverhampton Wanderers,4.25,4.037979787075739,-0.2120202129242612,5.270833333333333,5.123698540020615,-0.14713479331271806,3.375,3.422995143344515,0.047995143344515157,6.583333333333333,6.044236194696343,-0.5390971386369898,-0.2629475254493685,0.14041308319847765,1.4934634661662949,0.16522857348405845,0.07563180325364648,96,61.800000000000004,0
Manchester United,6.25,5.649431017236203,-0.6005689827637974,4.979166666666667,4.747793739807055,-0.23137292685961164,4.458333333333333,4.789022222586145,0.33068888925281215,6.666666666666667,5.600795312789628,-1.0658713538770392,0.0728627955229695,0.06421656814784973,1.4934634661662949,0.16522857348405845,0.07563180325364648,96,61.800000000000004,0
Manchester City,7.541666666666667,6.99587406095319,-0.5457926057134772,2.6875,3.0699972676635485,0.3824972676635485,6.041666666666667,5.930401883322621,-0.11126478334404588,4.166666666666667,3.621561350242171,-0.5451053164244959,0.2866285157649541,-0.3717867945794585,1.4934634661662949,0.16522857348405845,0.07563180325364648,96,61.800000000000004,0
Liverpool,7.104166666666667,6.978064414064907,-0.12610225260176033,3.7916666666666665,3.5410530957020714,-0.25061357096459513,6.375,5.9153046470763195,-0.45969535292368047,4.125,4.177248353158943,0.052248353158942606,0.2840795340926764,-0.229039298598798,1.4934634661662949,0.16522857348405845,0.07563180325364648,96,61.800000000000004,0
Tottenham,6.770833333333333,6.449297583588429,-0.3215357497449043,5.291666666666667,4.853156538137941,-0.4385101285287263,5.291666666666667,5.467069047067679,0.17540238040101208,6.0625,5.725087878847479,-0.3374121211525214,0.20527918345786375,0.08616585968916649,1.4934634661662949,0.16522857348405845,0.07563180325364648,96,61.800000000000004,0
West Ham United,4.875,4.935094919311658,0.060094919311658224,5.229166666666667,5.0423991697449235,-0.18676749692174344,3.9375,4.183479569366934,0.24597956936693421,6.416666666666667,5.9483303578114946,-0.4683363088551724,-0.06232013304680587,0.12441852839571178,1.4934634661662949,0.16522857348405845,0.07563180325364648,96,61.800000000000004,0
Nottingham Forest,4.75,4.945654949333104,0.1956549493331039,5.458333333333333,4.970144361670172,-0.48818897166316066,3.9166666666666665,4.19243130597361,0.2757646393069435,6.479166666666667,5.863094053841806,-0.616072612824861,-0.06018263656476409,0.10998542013411466,1.4934634661662949,0.16522857348405845,0.07563180325364648,96,61.800000000000004,0
Newcastle,6.3125,6.270038319412401,-0.04246168058759903,5.083333333333333,4.638005382685222,-0.44532795064811115,4.854166666666667,5.315110983127389,0.4609443164607221,5.375,5.471282079977659,0.0962820799776587,0.17709042652482776,0.04082093322808398,1.4934634661662949,0.16522857348405845,0.07563180325364648,96,61.800000000000004,0
Burnley,4.827586206896552,4.630345051507463,-0.19724115538908826,5.275862068965517,5.22500868307041,-0.05085338589510702,3.9655172413793105,3.9251431307429843,-0.04037411063632623,7.172413793103448,6.163747994371616,-1.0086657987318324,-0.12606064916547374,0.15999299351485624,1.4934634661662949,0.16522857348405845,0.07563180325364648,58,35.2,1
Luton Town,6.578947368421052,5.735133933072696,-0.8438134353483564,5.105263157894737,5.117084194875918,0.011821036981181088,4.105263157894737,4.8616725775031595,0.7564094196084223,6.7894736842105265,6.036433498262211,-0.7530401859483158,0.08791906428909901,0.13912131747398593,1.4934634661662949,0.16522857348405845,0.07563180325364648,38,15.200000000000003,1
Leicester,4.105263157894737,3.9127712010386997,-0.19249195685603748,5.684210526315789,5.189925409393241,-0.4942851169225486,3.1578947368421053,3.3168558349503545,0.1589610981082492,6.421052631578948,6.122361564055377,-0.29869106752357055,-0.2944461696269514,0.15325585892233623,1.4934634661662949,0.16522857348405845,0.07563180325364648,38,26.599999999999994,1
Ipswich Town,4.105263157894737,4.148917926245933,0.04365476835119608,5.842105263157895,5.641972521027568,-0.20013274213032695,3.526315789473684,3.5170373950681815,-0.009278394405502599,7.2631578947368425,6.655624692732176,-0.6075332020046664,-0.23584448007013373,0.23677027597051964,1.4934634661662949,0.16522857348405845,0.07563180325364648,38,26.599999999999994,1
Southampton,3.1578947368421053,4.367107535795115,1.2092127989530095,7.157894736842105,5.484593809319905,-1.6733009275222006,4.842105263157895,3.701996709675339,-1.140108553482556,5.526315789473684,6.4699708924259784,0.9436551029522944,-0.18459114081188896,0.20847957000009174,1.4934634661662949,0.16522857348405845,0.07563180325364648,38,26.599999999999994,1
Sheffield United,4.105263157894737,4.043563766131649,-0.061699391763088585,6.105263157894737,5.946976178671246,-0.1582869792234911,3.3157894736842106,3.427728681944707,0.11193920826049641,8.052631578947368,7.015426139410823,-1.037205439536545,-0.2615656161871645,0.28941941894584233,1.4934634661662949,0.16522857348405845,0.07563180325364648,38,15.200000000000003,1
Leeds,5.3,5.0142995371440575,-0.2857004628559423,3.4,3.124814142508571,-0.275185857491429,3.7,4.2506213175843275,0.5506213175843273,3.9,3.6862267743358164,-0.21377322566418355,-0.046398301542249956,-0.35408865914385945,1.4934634661662949,0.16522857348405845,0.07563180325364648,20,20.0,1
Sunderland,3.7,4.12389528721147,0.42389528721146963,4.4,4.110533744493795,-0.2894662555062055,3.5,3.4958257059550317,-0.004174294044968274,5.3,4.849043448580822,-0.45095655141917756,-0.24189386489184203,-0.07991058124952069,1.4934634661662949,0.16522857348405845,0.07563180325364648,20,20.0,1
