team,emp_home_for,mu_home_for,diff_home_for,emp_home_against,mu_home_against,diff_home_against,emp_away_for,mu_away_for,diff_away_for,emp_away_against,mu_away_against,diff_away_against,attack_A,defense_D,beta0,home_adv,alpha,matches,matches_w,low_sample_flag,promoted_flag
Arsenal,6.442968884905328,6.622909863340997,0.1799409784356687,2.5978527318114506,2.7720521285053423,0.17419939669389173,6.269732220808287,5.903743777616039,-0.365988443192248,3.5207585294816117,3.1097303804378367,-0.41102814904377505,0.2784493456446872,-0.47754945608354943,1.497137342611495,0.11494814151204248,0.029999999999999995,101.0,37.57307760831818,0,0
Aston Villa,6.56834094467591,5.825815148512681,-0.7425257961632292,3.9437804171358484,4.152315272403667,0.208534855267819,4.562725992803452,5.193203688751778,0.6304776959483256,5.385702927503291,4.658130638658663,-0.7275722888446285,0.15021344519641538,-0.07347126697080301,1.497137342611495,0.11494814151204248,0.029999999999999995,101.0,37.714165043214635,0,0
Bournemouth,5.837507957555025,6.244445398538156,0.406937440983131,4.608906269278086,4.554751368980279,-0.05415490029780745,5.883482481772675,5.566375872083136,-0.31710660968953874,5.527061724519006,5.109589593142279,-0.41747213137672734,0.21960684823068485,0.01903360241313148,1.497137342611495,0.11494814151204248,0.029999999999999995,101.0,37.71416504321464,0,0
Brentford,4.534460352384773,5.061040019915907,0.5265796675311343,5.085051065880691,5.071301406652501,-0.013749659228190048,4.915054672551884,4.511473678847786,-0.4035809937040984,6.307568669514615,5.689063308173653,-0.6185053613409623,0.00948651558867986,0.126460129755608,1.497137342611495,0.11494814151204248,0.029999999999999995,101.0,37.79170843109434,0,0
Brighton & Hove Albion,4.994707620329769,5.158404881769999,0.16369726144023033,4.553912231272832,4.196681030208037,-0.35723120106479556,4.857432338055778,4.598265921108435,-0.2591664169473429,4.770929434677858,4.7079008228037145,-0.06302861187414344,0.028541916139038278,-0.06284336062204855,1.497137342611495,0.11494814151204248,0.029999999999999995,101.0,37.49155621438102,0,0
Chelsea,6.846325134772936,6.179660797456204,-0.6666643373167318,3.8491265682369753,3.703662651596108,-0.1454639166408671,5.1429833846865245,5.508626077292789,0.36564269260626414,4.282352349771921,4.1548252820091855,-0.1275270677627356,0.20917789869669845,-0.18781510675821217,1.497137342611495,0.11494814151204248,0.029999999999999995,101.0,37.629095776220424,0,0
Crystal Palace,4.166501907409091,4.533530577785738,0.367028670376647,5.050545686077748,4.613059652769871,-0.43748603330787716,4.322944232897508,4.041245236838058,-0.2816989960594505,5.310564733664382,5.175000715706361,-0.1355640179580213,-0.10058447119048759,0.03175399332863168,1.497137342611495,0.11494814151204248,0.029999999999999995,101.0,37.60676590933471,0,0
Everton,4.529551125594961,4.369109477948885,-0.16044164764607594,5.0339374138666635,5.031133833104819,-0.00280358076184406,3.7108369909595114,3.8946782345535174,0.183841243594006,6.219459927011505,5.644002711193809,-0.5754572158176963,-0.13752627657189398,0.11850803023435076,1.497137342611495,0.11494814151204248,0.029999999999999995,101.0,37.629095776220424,0,0
Fulham,5.049939144452346,5.218892750673641,0.16895360622129463,5.109239065592162,4.591646347130799,-0.5175927184613629,4.749163077902862,4.652185555684435,-0.09697752221842748,5.045872802540559,5.1509789426644055,0.10510614012384689,0.040199778541887055,0.027101298442314962,1.497137342611495,0.11494814151204248,0.029999999999999995,101.0,37.79170843109435,0,0
Wolverhampton Wanderers,3.6598186096208702,4.015474192547722,0.35565558292685173,5.2814296784531995,5.040655331633144,-0.24077434682005538,3.88986325963289,3.5794433666763648,-0.31041989295652517,6.244688242752993,5.654684073544954,-0.5900041692080391,-0.2219300384564155,0.12039875713680676,1.497137342611495,0.11494814151204248,0.029999999999999995,101.0,37.69950943509997,0,0
Manchester United,4.991254792308043,5.130054649687254,0.13879985737921086,4.17347398804401,4.360556699034735,0.18708271099072515,4.666278060287629,4.572994173537339,-0.09328388675029053,5.628676582287437,4.8917390489050865,-0.7369375333823509,0.023030827962876647,-0.024537610136518746,1.497137342611495,0.11494814151204248,0.029999999999999995,101.0,37.614435291702485,0,0
Manchester City,6.76378959998026,6.172261040764487,-0.5915285592157735,2.997898976315868,3.188537552076388,0.19063857576052,5.070733269952051,5.502029842642758,0.431296572690707,4.004568413405961,3.5769500843424433,-0.4276183290635176,0.20797974383887502,-0.33757497855894003,1.497137342611495,0.11494814151204248,0.029999999999999995,101.0,37.79170843109435,0,0
Liverpool,6.250771570990917,6.520348337912879,0.2695767669219622,4.26486507781698,3.5992311723286488,-0.6656339054883311,6.047756010468865,5.8123191651627435,-0.23543684530612108,3.7542891604708655,4.037672454898685,0.2833832944278192,0.26284231644816064,-0.21641708319934913,1.497137342611495,0.11494814151204248,0.029999999999999995,101.0,37.67649873614066,0,0
Tottenham,6.147868561051149,5.705281313120671,-0.44258724793047843,5.419689178023114,4.6250258562482625,-0.7946633217748511,4.710041414715891,5.085758336879089,0.37571692216319796,4.859004756689562,5.188424585377714,0.32941982868815156,0.12930680789955226,0.03434461887743143,1.497137342611495,0.11494814151204248,0.029999999999999995,101.0,37.56909960226073,0,0
West Ham United,5.052177262519759,4.675069600008892,-0.37710766251086714,5.126432231903989,5.275603825223927,0.149171593319938,3.7830687102407077,4.1674148720863124,0.3843461618456048,6.550813255746019,5.918252879067851,-0.6325603766781676,-0.06984143379127125,0.16595579943629543,1.497137342611495,0.11494814151204248,0.029999999999999995,101.0,37.52128071566479,0,0
Nottingham Forest,5.1705811706347475,5.229535815052345,0.05895464441759746,5.2929103185459,4.996586553047532,-0.2963237654983679,4.649611731393232,4.66167291492638,0.01206118353314789,5.775219273492071,5.60524704521953,-0.16997222827254088,0.0422370357223041,0.11161764729359629,1.497137342611495,0.11494814151204248,0.029999999999999995,101.0,37.62156502070265,0,0
Newcastle,6.948703384670289,6.722365691468389,-0.22633769320189945,5.213558860597515,4.79652697345772,-0.4170318871397951,5.680549955713947,5.992399933077974,0.31184997736402664,5.214596427496731,5.380817155842411,0.1662207283456807,0.2933546458817779,0.07075476621943678,1.497137342611495,0.11494814151204248,0.029999999999999995,101.0,37.657881969914506,0,0
Burnley,3.295204845000374,3.6985587521855416,0.4033539071851675,5.063419503494507,4.825828301520865,-0.23759120197364236,3.6440619247041606,3.2969410228916605,-0.3471209018125001,5.970420812034434,5.413687832814229,-0.5567329792202056,-0.30414226679482803,0.07684504615505527,1.497137342611495,0.11494814151204248,0.029999999999999995,63.0,20.259485257230864,0,0
Luton Town,6.578947368421053,4.940480092209802,-1.6384672762112507,5.105263157894737,4.524521882201538,-0.5807412756931996,4.105263157894737,4.40400506796355,0.2987419100688129,6.789473684210527,5.075677693559213,-1.713795990651314,-0.014622972987974566,0.01237456756591113,1.497137342611495,0.11494814151204248,0.029999999999999995,38.0,0.0,1,0
Leicester,4.260082024478655,3.8151931119747946,-0.44488891250386065,5.575036925351118,5.201360199810885,-0.3736767255402329,3.0680120577695713,3.400910333975516,0.3328982762059445,6.220479185152698,5.834965247090574,-0.38551393806212353,-0.27309420153983543,0.15178282565732637,1.497137342611495,0.11494814151204248,0.029999999999999995,38.0,17.468810371563194,0,0
Ipswich Town,3.9598497953383354,3.8689066951827056,-0.09094310015562979,5.796494601742455,5.766052214724961,-0.030442387017494354,3.420172736300969,3.448791286484387,0.028618550183417746,7.258401062423947,6.468445366858664,-0.7899556955652827,-0.2591135246993933,0.2548503121871893,1.497137342611495,0.11494814151204248,0.029999999999999995,38.0,17.39126698368348,0,0
Southampton,3.081008861161761,4.11436297414437,1.0333541129826092,7.3408607896178255,5.633801784346094,-1.7070590052717316,4.714242083652701,3.667594049846426,-1.0466480338062754,5.325892422988584,6.320084815862502,0.9941923928739174,-0.1976014677753954,0.23164714417658672,1.497137342611495,0.11494814151204248,0.029999999999999995,38.0,17.332625043989175,0,0
Sheffield United,4.105263157894737,5.006584651784517,0.90132149388978,6.105263157894739,4.495816725084788,-1.6094464328099507,3.3157894736842106,4.462931490082242,1.147142016398031,8.052631578947368,5.043475810252882,-3.0091557686944865,-0.0013315077247474049,0.006010005155423955,1.497137342611495,0.11494814151204248,0.029999999999999995,38.0,0.0,1,0
Leeds United,5.317493919701313,4.9912110111259755,-0.3262829085753376,4.805419408035142,4.022210865868173,-0.7832085421669692,3.8427918187914543,4.449227236627192,0.6064354178357378,4.373595585750422,4.51217752995922,0.13858194420879766,-0.004406916203586303,-0.10530562452291523,1.497137342611495,0.11494814151204248,0.029999999999999995,25.0,20.259485257230864,0,0
Sunderland,3.31893191820778,3.676103780732022,0.35717186252424193,4.161884014379904,4.15043557027884,-0.011448444101064048,3.4036237887427623,3.2769243835698645,-0.1266994051728978,5.189022712606877,4.656021960129987,-0.53300075247689,-0.31023204805580884,-0.07392405718275995,1.497137342611495,0.11494814151204248,0.029999999999999995,25.0,20.259485257230864,0,0
